Yr, Mn,Date_obs,Date,CO2
1958,1,21200,1958.0411,-99.99
1958,2,21231,1958.126,-99.99
1958,3,21259,1958.2027,315.71
1958,4,21290,1958.2877,317.45
1958,5,21320,1958.3699,317.51
1958,6,21351,1958.4548,-99.99
1958,7,21381,1958.537,315.87
1958,8,21412,1958.6219,314.93
1958,9,21443,1958.7068,313.21
1958,10,21473,1958.789,-99.99
1958,11,21504,1958.874,313.33
1958,12,21534,1958.9562,314.67
1959,1,21565,1959.0411,315.58
1959,2,21596,1959.126,316.49
1959,3,21624,1959.2027,316.65
1959,4,21655,1959.2877,317.72
1959,5,21685,1959.3699,318.29
1959,6,21716,1959.4548,318.15
1959,7,21746,1959.537,316.54
1959,8,21777,1959.6219,314.8
1959,9,21808,1959.7068,313.84
1959,10,21838,1959.789,313.33
1959,11,21869,1959.874,314.81
1959,12,21899,1959.9562,315.58
1960,1,21930,1960.041,316.43
1960,2,21961,1960.1257,316.98
1960,3,21990,1960.2049,317.58
1960,4,22021,1960.2896,319.03
1960,5,22051,1960.3716,320.03
1960,6,22082,1960.4563,319.59
1960,7,22112,1960.5383,318.18
1960,8,22143,1960.623,315.9
1960,9,22174,1960.7077,314.17
1960,10,22204,1960.7896,313.83
1960,11,22235,1960.8743,315
1960,12,22265,1960.9563,316.19
1961,1,22296,1961.0411,316.89
1961,2,22327,1961.126,317.7
1961,3,22355,1961.2027,318.54
1961,4,22386,1961.2877,319.48
1961,5,22416,1961.3699,320.58
1961,6,22447,1961.4548,319.77
1961,7,22477,1961.537,318.56
1961,8,22508,1961.6219,316.79
1961,9,22539,1961.7068,314.99
1961,10,22569,1961.789,315.31
1961,11,22600,1961.874,316.1
1961,12,22630,1961.9562,317.01
1962,1,22661,1962.0411,317.94
1962,2,22692,1962.126,318.55
1962,3,22720,1962.2027,319.68
1962,4,22751,1962.2877,320.57
1962,5,22781,1962.3699,321.02
1962,6,22812,1962.4548,320.62
1962,7,22842,1962.537,319.61
1962,8,22873,1962.6219,317.4
1962,9,22904,1962.7068,316.24
1962,10,22934,1962.789,315.42
1962,11,22965,1962.874,316.69
1962,12,22995,1962.9562,317.7
1963,1,23026,1963.0411,318.74
1963,2,23057,1963.126,319.07
1963,3,23085,1963.2027,319.86
1963,4,23116,1963.2877,321.38
1963,5,23146,1963.3699,322.25
1963,6,23177,1963.4548,321.49
1963,7,23207,1963.537,319.74
1963,8,23238,1963.6219,317.77
1963,9,23269,1963.7068,316.21
1963,10,23299,1963.789,315.99
1963,11,23330,1963.874,317.07
1963,12,23360,1963.9562,318.35
1964,1,23391,1964.041,319.57
1964,2,23422,1964.1257,-99.99
1964,3,23451,1964.2049,-99.99
1964,4,23482,1964.2896,-99.99
1964,5,23512,1964.3716,322.25
1964,6,23543,1964.4563,321.89
1964,7,23573,1964.5383,320.44
1964,8,23604,1964.623,318.69
1964,9,23635,1964.7077,316.71
1964,10,23665,1964.7896,316.87
1964,11,23696,1964.8743,317.68
1964,12,23726,1964.9563,318.71
1965,1,23757,1965.0411,319.44
1965,2,23788,1965.126,320.44
1965,3,23816,1965.2027,320.89
1965,4,23847,1965.2877,322.13
1965,5,23877,1965.3699,322.17
1965,6,23908,1965.4548,321.87
1965,7,23938,1965.537,321.21
1965,8,23969,1965.6219,318.87
1965,9,24000,1965.7068,317.82
1965,10,24030,1965.789,317.3
1965,11,24061,1965.874,318.87
1965,12,24091,1965.9562,319.42
1966,1,24122,1966.0411,320.62
1966,2,24153,1966.126,321.6
1966,3,24181,1966.2027,322.39
1966,4,24212,1966.2877,323.7
1966,5,24242,1966.3699,324.08
1966,6,24273,1966.4548,323.75
1966,7,24303,1966.537,322.37
1966,8,24334,1966.6219,320.36
1966,9,24365,1966.7068,318.64
1966,10,24395,1966.789,318.1
1966,11,24426,1966.874,319.78
1966,12,24456,1966.9562,321.02
1967,1,24487,1967.0411,322.33
1967,2,24518,1967.126,322.5
1967,3,24546,1967.2027,323.03
1967,4,24577,1967.2877,324.41
1967,5,24607,1967.3699,325
1967,6,24638,1967.4548,324.09
1967,7,24668,1967.537,322.54
1967,8,24699,1967.6219,320.92
1967,9,24730,1967.7068,319.25
1967,10,24760,1967.789,319.39
1967,11,24791,1967.874,320.72
1967,12,24821,1967.9562,321.95
1968,1,24852,1968.041,322.57
1968,2,24883,1968.1257,323.15
1968,3,24912,1968.2049,323.89
1968,4,24943,1968.2896,325.02
1968,5,24973,1968.3716,325.57
1968,6,25004,1968.4563,325.36
1968,7,25034,1968.5383,324.14
1968,8,25065,1968.623,322.11
1968,9,25096,1968.7077,320.33
1968,10,25126,1968.7896,320.25
1968,11,25157,1968.8743,321.32
1968,12,25187,1968.9563,322.89
1969,1,25218,1969.0411,324
1969,2,25249,1969.126,324.41
1969,3,25277,1969.2027,325.63
1969,4,25308,1969.2877,326.66
1969,5,25338,1969.3699,327.38
1969,6,25369,1969.4548,326.71
1969,7,25399,1969.537,325.88
1969,8,25430,1969.6219,323.66
1969,9,25461,1969.7068,322.38
1969,10,25491,1969.789,321.78
1969,11,25522,1969.874,322.85
1969,12,25552,1969.9562,324.11
1970,1,25583,1970.0411,325.06
1970,2,25614,1970.126,325.99
1970,3,25642,1970.2027,326.93
1970,4,25673,1970.2877,328.13
1970,5,25703,1970.3699,328.08
1970,6,25734,1970.4548,327.67
1970,7,25764,1970.537,326.34
1970,8,25795,1970.6219,324.68
1970,9,25826,1970.7068,323.1
1970,10,25856,1970.789,323.07
1970,11,25887,1970.874,324.01
1970,12,25917,1970.9562,325.13
1971,1,25948,1971.0411,326.17
1971,2,25979,1971.126,326.68
1971,3,26007,1971.2027,327.18
1971,4,26038,1971.2877,327.78
1971,5,26068,1971.3699,328.93
1971,6,26099,1971.4548,328.57
1971,7,26129,1971.537,327.36
1971,8,26160,1971.6219,325.43
1971,9,26191,1971.7068,323.36
1971,10,26221,1971.789,323.56
